,,,,,,,Top 3 Por Circuito,,,,,,,,
Corridas:,Interlagos,Pódios:,Interlagos,Vitórias:,Interlagos,Poles:,Interlagos,Fast Laps:,Interlagos,Hattricks:,Interlagos,GC:,Curitiba,Abandonos:,Brasilia
,Goiania,,Goiania,,Goiania,,Goiania,,Goiania,,Goiania,,,,Cascavel
,Curitiba,,Curitiba,,Taruma,,Buenos Aires,,Velo Citta,,Velo Citta,,,,Interlagos
Circuitos,Corridas,Pódios,P1,P2,P3,Top 5,Top 10,Poles,Fast Laps,Hattricks,GC,Abandonos,LP,Avg Start,Avg Fin
Interlagos,24,13,4,4,5,19,23,3,4,1,0,2,0,6,4
Curvelo,3,0,0,0,0,0,2,0,0,0,0,1,0,10,12
Curitiba,16,6,2,3,1,7,11,1,1,1,1,0,0,11,8
Campo Grande,5,2,0,1,1,3,5,1,1,0,0,1,0,10,6
Santa Cruz do Sul,9,2,0,1,1,6,8,0,1,0,0,1,1,8,6
Buenos Aires,6,3,2,0,1,4,4,2,1,0,0,1,0,7,5
Taruma,12,6,3,0,3,7,11,2,0,0,0,2,1,8,5
Marcas Junior,1,0,0,0,0,0,1,0,0,0,0,0,0,11,6
Velo Citta,8,4,1,2,1,5,6,2,3,1,0,0,0,6,6
Jacarepagua,8,2,1,0,1,5,6,1,0,0,0,0,1,10,7
Caruaru,2,0,0,0,0,0,1,0,0,0,0,0,0,14,10
Velopark,2,1,0,0,1,1,2,0,0,0,0,0,0,6,5
Londrina,8,2,0,1,1,3,7,1,0,0,0,0,0,8,7
Brasilia,8,3,1,1,1,4,8,0,0,0,0,3,0,6,6
Barcelona,5,2,1,0,1,2,4,0,0,0,0,0,0,9,8
Spa-Francorchamps,11,3,1,2,0,6,9,1,1,0,0,0,0,11,8
Cascavel,14,5,2,2,1,11,13,2,1,0,0,3,0,8,5
Silverstone,7,1,1,0,0,1,3,0,0,0,0,0,0,13,12
Guapore,4,1,0,1,0,1,4,1,0,0,0,0,0,11,7
Imola,4,1,0,1,0,2,2,1,1,0,0,0,0,13,13
Cordoba,3,0,0,0,0,0,2,0,0,0,0,0,0,9,10
Buskerud,2,0,0,0,0,1,2,0,0,0,0,0,0,8,6
Goiania,19,7,4,1,2,9,15,3,4,3,0,1,0,9,6
Floripa,2,0,0,0,0,0,2,0,0,0,0,0,0,5,8
Granja Viana,1,0,0,0,0,1,1,0,0,0,0,1,0,7,5
Ortona,1,0,0,0,0,1,1,0,1,0,0,0,0,3,4
Montreal,5,3,1,2,0,3,5,2,1,1,0,0,0,4,4
Paul Ricard,4,2,1,0,1,2,3,0,0,0,0,0,0,8,6
Indianapolis,2,0,0,0,0,1,2,0,0,0,0,0,0,9,6
Spielberg,7,4,1,1,2,5,7,1,1,0,0,0,0,5,4
Hockenhein,4,3,2,1,0,4,4,0,2,0,0,1,0,4,2
Aldeia da Serra,2,0,0,0,0,1,2,0,0,0,0,0,0,4,5
Algarve,1,0,0,0,0,0,1,0,0,0,0,0,0,8,7
Suzuka,6,2,0,1,1,3,6,1,1,0,0,1,0,7,5
Mugello,2,0,0,0,0,0,1,0,0,0,0,0,0,8,9
Daytona,2,1,1,0,0,1,2,0,0,0,0,1,0,13,6
Chang,1,0,0,0,0,0,1,0,0,0,0,0,0,11,10
Monza,5,2,1,0,1,3,4,1,1,1,0,1,0,7,5
Road America,3,1,1,0,0,3,3,0,2,0,0,0,0,10,4
Laguna Seca,6,0,0,0,0,1,4,1,0,0,0,0,0,11,11
Magny Cours,2,1,0,1,0,2,2,0,0,0,0,0,0,7,3
Chicagoland,1,0,0,0,0,0,0,0,0,0,0,0,0,34,14
