Data,Hora,Equipe,Liga,Tipo,Ano,Temporada,Simulador,Categoria,Pista,Inicio,Final,Pole,Best Lap,Hat-Trick,Chelem,Campeão,Construtores,Eventos,Transmissão,Já Foi?
17/01/18,20:00,Grip,F1BC,Road,2018,2018/1,Automobilista,Marcas Light,Interlagos,20,18,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=Q6woDMWNdRA,TRUE
31/01/18,20:00,Grip,F1BC,Road,2018,2018/1,Automobilista,Marcas Light,Curvelo,17,17,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=yXNYL7qTGmI,TRUE
21/02/18,20:00,Grip,F1BC,Road,2018,2018/1,Automobilista,Marcas Light,Curitiba,19,10,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=omBQGUgL2Us,TRUE
07/03/18,20:00,Grip,F1BC,Road,2018,2018/1,Automobilista,Marcas Light,Campo Grande,16,9,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=xIocBNv1yrk,TRUE
21/03/18,20:00,Grip,F1BC,Road,2018,2018/1,Automobilista,Marcas Light,Santa Cruz do Sul,15,DSQ,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=8cqAeQqzeP8,TRUE
04/04/18,20:00,Grip,F1BC,Road,2018,2018/1,Automobilista,Marcas Light,Buenos Aires,12,12,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=q81HGH8lzKA,TRUE
18/04/18,20:00,Grip,F1BC,Road,2018,2018/1,Automobilista,Marcas Light,Taruma,15,DSQ,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=QjzzFTjhlDw,TRUE
15/05/18,22:00,Grip,F1BC,Road,2018,2018/2,Automobilista,Marcas Junior,Marcas Junior,11,6,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=Jd-uVuJ7Za8,TRUE
23/05/18,20:00,Grip,F1BC,Road,2018,2018/2,Automobilista,Marcas Light,Velo Citta,15,13,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=eMnTs3_OHoM,TRUE
29/05/18,22:00,Grip,F1BC,Road,2018,2018/2,Automobilista,Marcas Junior,Jacarepagua,18,14,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=uCkA-M63gv4,TRUE
06/06/18,20:00,Grip,F1BC,Road,2018,2018/2,Automobilista,Marcas Light,Jacarepagua,16,16,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=W_hBTGGqfjk,TRUE
12/06/18,22:00,Grip,F1BC,Road,2018,2018/2,Automobilista,Marcas Junior,Caruaru,11,8,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=xc6FETrmR3E,TRUE
20/06/18,20:00,Grip,F1BC,Road,2018,2018/2,Automobilista,Marcas Light,Caruaru,16,11,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=smiLNukx9co,TRUE
26/06/18,22:00,Grip,F1BC,Road,2018,2018/2,Automobilista,Marcas Junior,Curitiba,11,5,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=gqM6V0I5ef0,TRUE
04/07/18,20:00,Grip,F1BC,Road,2018,2018/2,Automobilista,Marcas Light,Curitiba,17,10,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=lFRTQBThju4,TRUE
10/07/18,22:00,Grip,F1BC,Road,2018,2018/2,Automobilista,Marcas Junior,Buenos Aires,10,11,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=mB0NBJKA2ho,TRUE
18/07/18,20:00,Grip,F1BC,Road,2018,2018/2,Automobilista,Marcas Light,Buenos Aires,14,DNF,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=xuyif_OwZcU,TRUE
24/07/18,22:00,Grip,F1BC,Road,2018,2018/2,Automobilista,Marcas Junior,Velopark,10,7,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=KYvE6m93PYg,TRUE
