RESUMO,Títulos,Eventos,Construtores,Corridas,Pódios,P1,P2,P3,Top 5,Top 10,Poles,Fast Laps,Hattricks,Abandonos,LP,Avg Start,Avg Fin,,,,,
Total,5,2,7,336,105,35,36,34,167,259,32,32,8,21,3,"8,3","6,5",,,,,
Temporada,Títulos,Eventos,Construtores,Corridas,Pódios,P1,P2,P3,Top 5,Top 10,Poles,Fast Laps,Hattricks,Abandonos,LP,Avg Start,Avg Fin,,Ultimas 10 Corridas,,,
2018/1,0,0,0,7,0,0,0,0,0,2,0,0,0,0,2,"16,3","13,2",,Categoria,Pista,Inicio,Final
2018/2,0,0,0,13,0,0,0,0,1,7,0,0,0,1,0,"13,1","10,0",,Stock Car,Goiania,4,3
2018/3,0,0,0,18,3,0,1,2,5,13,0,0,0,1,1,"12,6","8,2",,Stock Car,Brasilia,12,
2019/1,0,0,0,18,0,0,0,0,3,13,0,1,0,4,0,"7,7","7,6",,Stock Car,Curitiba,13,11
2019/2,2,0,2,18,9,3,4,2,12,16,2,0,0,1,0,"5,1","4,2",,Stock Car,Interlagos,9,
2019/3,0,1,0,16,2,1,1,0,2,11,1,2,0,2,0,"8,9","8,3",,Stock Car,Campo Grande,2,4
2020/1,0,0,1,10,1,0,0,1,3,8,0,0,0,0,0,"6,9","7,5",,Stock Car,Interlagos,3,5
2020/2,0,0,0,16,6,0,4,2,12,14,0,2,0,1,0,"5,6","4,5",,Stock Car,Interlagos,6,1
2020/3,0,1,0,28,9,5,1,3,12,18,6,2,1,3,0,"9,6","7,8",,Stock Car,Cascavel,3,2
2021/1,1,0,1,31,10,3,2,5,18,25,1,3,0,0,0,"8,9","5,8",,Stock Car,Cascavel,7,
2021/2,0,0,0,12,6,0,3,3,9,12,4,2,0,0,0,"4,3","4,3",,Stock Car,Taruma,4,1
2021/3,0,0,0,27,11,4,4,3,18,24,4,7,1,1,0,"6,1","4,7",,,,,
2022/1,0,0,1,20,8,2,2,4,12,17,4,3,1,1,0,"5,1","5,3",,,,,
2022/2,0,0,1,8,3,0,3,0,5,8,1,0,0,0,0,"10,3","5,1",,,,,
2022/3,0,0,0,11,2,0,1,1,4,6,0,0,0,0,0,"15,7","11,9",,,,,
2022/4,1,0,1,20,10,3,3,4,13,17,0,0,0,2,0,"6,5","4,6",,,,,
2023/1,0,0,0,11,5,3,2,0,7,11,4,3,2,0,0,"4,8","4,5",,,,,
2023/2,0,0,0,9,3,2,0,1,7,8,0,0,0,0,0,"5,9","4,8",,,,,
2023/3,0,0,0,11,4,2,1,1,5,5,1,0,0,0,0,"16,5","13,5",,,,,
2024/1,1,0,0,6,5,5,0,0,6,6,4,4,3,0,0,"1,7","1,5",,,,,
2025/1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,"17,5","13,8",,,,,
2025/2,0,0,0,5,3,0,3,0,5,5,0,1,0,0,0,"5,8","2,8",,,,,
2026/1,0,0,0,8,4,2,1,1,6,7,0,2,0,1,0,"5,6","3,3",,,,,
Total,5,2,7,327,104,35,36,33,165,254,32,32,8,18,3,"8,7","6,8",,,,,
Ano,Títulos,Eventos,Construtores,Corridas,Pódios,P1,P2,P3,Top 5,Top 10,Poles,Fast Laps,Hattricks,Abandonos,LP,Avg Start,Avg Fin,,,,,
2018,0,0,0,38,3,0,1,2,6,22,0,0,0,2,3,"13,4","9,6",,,,,
2019,2,1,2,54,11,4,5,2,18,41,3,3,0,7,0,"7,3","6,7",,,,,
2020,0,1,1,52,16,5,5,6,26,39,6,4,1,4,0,"7,8","6,5",,,,,
2021,1,0,1,70,27,7,9,11,45,61,9,12,1,1,0,"7,0","5,1",,,,,
2022,1,0,3,59,23,5,9,9,34,48,5,3,1,3,0,"8,3","6,3",,,,,
2023,0,0,0,31,12,7,3,2,19,24,5,3,2,0,0,"9,3","7,8",,,,,
2024,1,0,0,6,5,5,0,0,6,6,4,4,3,0,0,"1,7","1,5",,,,,
2025,0,0,0,9,3,0,3,0,5,6,0,1,0,0,0,"11,0","7,7",,,,,
2026,0,0,0,17,5,2,1,2,8,12,0,2,0,4,0,"6,8","4,9",,,,,
Total,5,2,7,336,105,35,36,34,167,259,32,32,8,21,3,"8,1","6,2",,,,,
Simulador,Títulos,Eventos,Construtores,Corridas,Pódios,P1,P2,P3,Top 5,Top 10,Poles,Fast Laps,Hattricks,Abandonos,LP,Avg Start,Avg Fin,,,,,
Automobilista,3,2,5,183,48,14,16,18,82,144,12,10,2,14,3,"8,1","6,3",,,,,
Automobilista 2,1,0,1,42,28,11,10,7,37,39,14,13,5,0,0,"3,6","2,9",,,,,
Assetto Corsa,0,0,0,19,0,0,0,0,0,10,0,0,0,0,0,"13,2","11,7",,,,,
RFactor 2,1,0,1,75,29,10,10,9,47,65,6,9,1,6,0,"6,3","4,7",,,,,
ACC,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,"24,8","20,8",,,,,
iRacing,0,0,0,12,0,0,0,0,1,1,0,0,0,1,0,"26,8","20,2",,,,,
Total,5,2,7,336,105,35,36,34,167,259,32,32,8,21,3,"13,8","11,1",,,,,
Liga,Títulos,Eventos,Construtores,Corridas,Pódios,P1,P2,P3,Top 5,Top 10,Poles,Fast Laps,Hattricks,Abandonos,LP,Avg Start,Avg Fin,,,,,
F1BC,3,0,6,181,44,15,12,17,67,133,16,13,2,10,3,"9,4","7,6",,,,,
