Resultados Temporadas,,,,,,,,,,,,,,,,,,,
Categoria,Liga,2018/1,2018/2,2018/3,2019/1,2019/2,2019/3,2020/1,2020/2,2020/3,2021/1,2021/2,2021/3,2122/1,2022/2,2022/3,2022/4,2023/1,2024/2
Marcas Junior,F1BC,,9,4,11,1,,,,,,,,,,,,,
Marcas Light,F1BC,16,16,13,15,,,,,,,,,,,,,,
Marcas Pro,F1BC,,,,,,10,,11,6,,,,,,,,,
Touring Light,F1BC,,,,,1,,,,,,,,,,,,,
GT Series,F1BC,,,20,,,8,,,,,,,,,,,,
Kart,F1BC,,,,11,,,,,,,,,,,,,,
GT3,ProRace,,,,,,,6,,,,,,,,,,,
WTCC,RacersAV,,,,,,,,3,,,,,,,,,,
Truck Series,Virtual Challenge,,,,,,,,,16,,,,,,,,,
Stock,F1BC,,,,,,,,,5,,,,,,,,,
Ferrari,F1BC,,,,,,,,,4,,,,,,,,,
Virtual Mini,F1BC,,,,,,,,,,3,2,,,,,,,
Virtual Sprint Race,F1BC,,,,,,,,,,5,,,,,,,,
Stock Light,Warmup,,,,,,,,,,1,,,,,,,,
Fun Cup,Campeonatos Classicos,,,,,,,,,,,,2,,,,,,
Endurance,Campeonatos Classicos,,,,,,,,,,,,3,,,,,,
GTE,GreenAV Club,,,,,,,,,,6,,,,,,,,
DTM,Campeonatos Classicos,,,,,,,,,,,,,2,,,,,
Alpine,Campeonatos Classicos,,,,,,,,,,,,,2,,,,,
Lancer,F1BC,,,,,,,,,,,,,4,,,,,
Mini,RacersAV,,,,,,,,,,,,,,,,,2,
Superclio,F1BC,,,,,,,,,,,,,,6,3,1,2,
Sprint Race,RacersAV,,,,,,,,,,,,,,,,,,1
Archievements,,,,,,,,,,,,,,,,,,,
1º Pódio: 12/09/2018 (Brasília - Marcas Junior F1BC),,,,,,,,,,,,,,,,,,,
1ª Vitória: 13/06/2019 (Paul Ricard - Touring Light F1BC),,,,,,,,,,,,,,,,,,,
1ª Pole: 23/07/2019 (Buenos Aires - Marcas Junior F1BC),,,,,,,,,,,,,,,,,,,
1º Título: 06/08/2019 (Guapore - Marcas Junior F1BC),,,,,,,,,,,,,,,,,,,
2º Título: 08/08/2019 (Spa - Touring Light F1BC),,,,,,,,,,,,,,,,,,,
3º Título: 02/05/2021 (Tarumã - Stock Light Warmup),,,,,,,,,,,,,,,,,,,
1ª Vitória Evento: 08/08/2019 (Interlagos - 250 KM Mini RacersAV),,,,,,,,,,,,,,,,,,,
2ª Vitória Evento: 19/07/2019 (3 Horas Le Mans Warmup),,,,,,,,,,,,,,,,,,,
4º Título: 08/12/2022 (Interlagos - Superclio F1BC),,,,,,,,,,,,,,,,,,,
